"V1" "V2" "V3" "V4"
"1" 0 1 1 1
"2" 10 1 1 1
"3" 17.778 1 1 1
"4" 23.829 1 1 1
"5" 27.709 1 1 1
"6" 31.153 1 1 1
"7" 36.755 1 1 1
"8" 40.052 1 1 1
"9" 44.817 1 1 1
"10" 49.005 1 1 1
"11" 53.482 1 1 1
"12" 57.218 1 1 1
"13" 62.174 1 1 1
"14" 66.046 1 1 1
"15" 69.755 1 1 1
"16" 73.74 1 1 1
"17" 78.09 1 1 1
"18" 82.984 1 1 1
"19" 86.195 1 1 1
"20" 92.345 0.922261304412548 1 1
"21" 95.247 1 1 1
"22" 99.707 1 1 1
"23" 104.673 1 1 1
"24" 108.595 1 1 1
"25" 112.436 1 1 1
"26" 119.241 1 1 1
"27" 122.506 1 1 1
"28" 126.549 1 1 1
"29" 130.978 1 1 1
"30" 135.41 1 1 1
"31" 139.544 1 1 1
"32" 143.567 1 1 1
"33" 148.929 1 1 1
"34" 152.26 1 1 1
"35" 157.108 1 1 1
"36" 160.07 1 1 1
"37" 165.104 1 1 1
"38" 170.028 1 1 1
"39" 173.285 1 1 1
"40" 176.854 1 1 1
"41" 181.682 1 1 1
"42" 186.27 1 1 1
"43" 190.212 1 1 1
"44" 194.444 1 1 1
"45" 199.858 1 1 1
"46" 203.444 1 1 1
"47" 207.03 1 1 1
"48" 211.72 0.947684474646124 1 1
"49" 215.977 0.973115634458134 1 1
"50" 220.855 1 1 1
"51" 224.226 1 1 1
"52" 229.056 1 1 1
"53" 232.349 1 1 1
"54" 236.833 1 1 1
"55" 240.932 1 1 1
"56" 245.556 1 1 1
"57" 248.405 1 1 1
"58" 253.878 1 1 1
"59" 258.738 1 1 1
"60" 262.235 1 1 1
"61" 266.263 1 1 1
"62" 270.102 1 1 1
"63" 275.853 1 1 1
"64" 278.707 1 1 1
"65" 283.93 1 1 1
"66" 287.953 1 1 1
"67" 292.261 1 1 1
"68" 297.149 1 1 1
"69" 299.928 1 1 1
"70" 305.205 1 1 1
"71" 310.178 0.580495201462176 1 1
"72" 315.504 0.483452101395589 0.966904202791177 1
"73" 320.595 0.37752110960366 0.75504221920732 1
"74" 326.723 0.39862429525635 0.7972485905127 1
"75" 331.73 0.379348922433363 0.758697844866727 1
"76" 337.89 0.430081938073968 0.860163876147937 1
"77" 343.118 0.354956344469204 0.709912688938408 1
"78" 348.821 0.360399906686058 0.720799813372115 1
"79" 356.407 0.398701189415553 0.797402378831106 1
"80" 360.787 0.449966026448445 0.89993205289689 1
"81" 364.381 0.411435251915735 0.82287050383147 1
"82" 370.658 0.313331530318134 0.626663060636267 1
"83" 377.763 0.360683780657463 0.721367561314927 1
"84" 381.691 0.392133943726674 0.784267887453348 1
"85" 388.279 0.347768771609782 0.695537543219565 1
"86" 392.873 0.350494626332123 0.700989252664245 1
"87" 398.98 0.323703343935829 0.647406687871658 1
"88" 404.838 0.38903735217674 0.77807470435348 1
"89" 410.232 0.362350282707319 0.724700565414639 1
"90" 414.771 0.366947348819511 0.733894697639022 1
"91" 420.641 0.317752799666912 0.635505599333823 1
