"V1" "V2"
"1" 0 0
"2" 10 10
"3" 17.778 7.778
"4" 23.829 6.051
"5" 27.709 3.88
"6" 31.153 3.444
"7" 36.755 5.602
"8" 40.052 3.297
"9" 44.817 4.765
"10" 49.005 4.188
"11" 53.482 4.477
"12" 57.218 3.73600000000000
"13" 62.174 4.956
"14" 66.046 3.87200000000001
"15" 69.755 3.70899999999999
"16" 73.74 3.985
"17" 78.09 4.35000000000001
"18" 82.984 4.89399999999999
"19" 86.195 3.21100000000001
"20" 92.345 6.14999999999999
"21" 95.247 2.902
"22" 99.707 4.46000000000001
"23" 104.673 4.96599999999999
"24" 108.595 3.922
"25" 112.436 3.84100000000001
"26" 119.241 6.80499999999999
"27" 122.506 3.265
"28" 126.549 4.04300000000001
"29" 130.978 4.429
"30" 135.41 4.43199999999999
"31" 139.544 4.13400000000001
"32" 143.567 4.023
"33" 148.929 5.36199999999999
"34" 152.26 3.33099999999999
"35" 157.108 4.84800000000001
"36" 160.07 2.96199999999999
"37" 165.104 5.03400000000002
"38" 170.028 4.92399999999998
"39" 173.285 3.25700000000001
"40" 176.854 3.56900000000002
"41" 181.682 4.828
"42" 186.27 4.58799999999999
"43" 190.212 3.94200000000001
"44" 194.444 4.232
"45" 199.858 5.41399999999999
"46" 203.444 3.58600000000001
"47" 207.03 3.58599999999998
"48" 211.72 4.69
"49" 215.977 4.25700000000001
"50" 220.855 4.87800000000001
"51" 224.226 3.37099999999998
"52" 229.056 4.83000000000001
"53" 232.349 3.29300000000001
"54" 236.833 4.48399999999998
"55" 240.932 4.09900000000002
"56" 245.556 4.624
"57" 248.405 2.84899999999999
"58" 253.878 5.47300000000001
"59" 258.738 4.85999999999999
"60" 262.235 3.49700000000001
"61" 266.263 4.02800000000002
"62" 270.102 3.839
"63" 275.853 5.75099999999998
"64" 278.707 2.85399999999998
"65" 283.93 5.22300000000001
"66" 287.953 4.02300000000002
"67" 292.261 4.30799999999999
"68" 297.149 4.88799999999998
"69" 299.928 2.77900000000000
"70" 305.205 5.27699999999999
"71" 310.178 4.97300000000001
"72" 315.504 5.32600000000002
"73" 320.595 5.09100000000001
"74" 326.723 6.12799999999999
"75" 331.73 5.00700000000001
"76" 337.89 6.15999999999997
"77" 343.118 5.22800000000001
"78" 348.821 5.70300000000003
"79" 356.407 7.58599999999996
